Speaker_1_001|Lieutenant Yar to Commander Riker.|Lieutenant Yar to Commander Riker.
Speaker_1_002|Your presence is requested in transporter room one.|Your presence is requested in transporter room one.
Speaker_1_003|Yes, sir.|Yes, sir.
Speaker_1_004|There's an object of some kind beaming in from Haven.|There's an object of some kind beaming in from Haven.
Speaker_1_005|We're not sure.|We're not sure.
Speaker_1_006|All right.|All right.
Speaker_1_007|Let's bring it in.|Let's bring it in.
Speaker_1_008|What's going on?|What's going on?
Speaker_1_009|The momentous day is close at hand.|The momentous day is close at hand.
Speaker_1_010|Rejoice!|Rejoice!
Speaker_1_011|No.|No.
Speaker_1_012|No.|No.
Speaker_1_013|What's going on?|What's going on?
Speaker_1_014|Look at these jewels.|Look at these jewels.
Speaker_1_015|They're bonding gifts.|They're bonding gifts.
Speaker_1_016|What you would call wedding presents.|What you would call wedding presents.
Speaker_1_017|So, I was certain it would never happen, Captain.|So, I was certain it would never happen, Captain.
Speaker_1_018|The years I'd spent on this mission, the distance it has taken me away from home.|The years I'd spent on this mission, the distance it has taken me away from home.
Speaker_1_019|As you must have heard, genetic bonding is a Betazoid tradition.|As you must have heard, genetic bonding is a Betazoid tradition.
Speaker_1_020|Stephen Miller was my father's closest friend.|Stephen Miller was my father's closest friend.
Speaker_1_021|No, sir.|No, sir.
Speaker_1_022|Bill.|Bill.
Speaker_1_023|More than anything in the world.|More than anything in the world.
Speaker_1_024|Anything.|Anything.
Speaker_1_025|You want to be a starship captain.|You want to be a starship captain.
Speaker_1_026|True?|True?
Speaker_1_027|I can feel that.|I can feel that.
Speaker_1_028|I know you care within those limits.|I know you care within those limits.
Speaker_1_029|Did you hear what I said?|Did you hear what I said?
Speaker_1_030|Every word.|Every word.
Speaker_1_031|Come dance at my wedding.|Come dance at my wedding.
Speaker_1_032|I'm Diana.|I'm Diana.
Speaker_1_033|Oh, Diana, darling.|Oh, Diana, darling.
Speaker_1_034|Isn't this simply beautiful?|Isn't this simply beautiful?
Speaker_1_035|It's wonderful.|It's wonderful.
Speaker_1_036|Thank you.|Thank you.
Speaker_1_037|When is my mother arriving?|When is my mother arriving?
Speaker_1_038|So?|So?
Speaker_1_039|Yes, he does.|Yes, he does.
Speaker_1_040|But I'm not what he expected.|But I'm not what he expected.
Speaker_1_041|Neither do I. But I'm definitely a surprise of some sort to him.|Neither do I. But I'm definitely a surprise of some sort to him.
Speaker_1_042|I should warn you, sir.|I should warn you, sir.
Speaker_1_043|My mother is a little... eccentric.|My mother is a little... eccentric.
Speaker_1_044|Hello, Mother.|Hello, Mother.
Speaker_1_045|Hello, Mother.|Hello, Mother.
Speaker_1_046|Oh, you may carry my luggage.|Oh, you may carry my luggage.
Speaker_1_047|Mother, it's quite inappropriate to ask the captain.|Mother, it's quite inappropriate to ask the captain.
Speaker_1_048|Mother, I'm not going another step like this.|Mother, I'm not going another step like this.
Speaker_1_049|A starship has its customs just as we do.|A starship has its customs just as we do.
Speaker_1_050|If you're my mother's valet, then please valet.|If you're my mother's valet, then please valet.
Speaker_1_051|Your last valet tried so hard to rid me of it.|Your last valet tried so hard to rid me of it.
Speaker_1_052|Whatever happened to Mr.|Whatever happened to Mr.
Speaker_1_053|Mother, that's enough.|Mother, that's enough.
Speaker_1_054|Good.|Good.
Speaker_1_055|Ah, yes.|Ah, yes.
Speaker_1_056|The room is adequate.|The room is adequate.
Speaker_1_057|Only to avoid confusion, Mother.|Only to avoid confusion, Mother.
Speaker_1_058|Humans constantly think one thing and say another.|Humans constantly think one thing and say another.
Speaker_1_059|On that subject, Mother, there is such a thing as too much honesty with humans.|On that subject, Mother, there is such a thing as too much honesty with humans.
Speaker_1_060|Mother, I'm having some trouble believing in those vows as once I did.|Mother, I'm having some trouble believing in those vows as once I did.
Speaker_1_061|But I'll honor them, of course.|But I'll honor them, of course.
Speaker_1_062|I'm a beta zoid.|I'm a beta zoid.
Speaker_1_063|I wanted to apologize for my mother's behavior.|I wanted to apologize for my mother's behavior.
Speaker_1_064|Yes.|Yes.
Speaker_1_065|But she never lets up.|But she never lets up.
Speaker_1_066|I never heard it described better.|I never heard it described better.
Speaker_1_067|But it is a Betazoid trait.|But it is a Betazoid trait.
Speaker_1_068|I'll try to be only half as annoying.|I'll try to be only half as annoying.
Speaker_1_069|Sometimes.|Sometimes.
